,property,pset,templatetype,measuretype
0,RequestSourceLabel,Pset_ActionRequest,P_SINGLEVALUE,IFCLABEL
1,RequestSourceName,Pset_ActionRequest,P_REFERENCEVALUE,IFCPERSON
2,RequestComments,Pset_ActionRequest,P_SINGLEVALUE,IFCTEXT
3,NumberOfActors,Pset_ActorCommon,P_SINGLEVALUE,IFCCOUNTMEASURE
4,ActorCategory,Pset_ActorCommon,P_SINGLEVALUE,IFCLABEL
5,SkillLevel,Pset_ActorCommon,P_SINGLEVALUE,IFCLABEL
6,PositionHistory,Pset_ActuatorPHistory,P_REFERENCEVALUE,IFCTIMESERIES
7,QualityHistory,Pset_ActuatorPHistory,P_REFERENCEVALUE,IFCTIMESERIES
8,StatusHistory,Pset_ActuatorPHistory,P_REFERENCEVALUE,IFCTIMESERIES
9,Reference,Pset_ActuatorTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
10,ActuatorStatus,Pset_ActuatorTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
11,FailPosition,Pset_ActuatorTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
12,ManualOverride,Pset_ActuatorTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
13,ActuatorApplication,Pset_ActuatorTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
14,ActuatorInputPower,Pset_ActuatorTypeElectricActuator,P_SINGLEVALUE,IFCPOWERMEASURE
15,ElectricActuatorType,Pset_ActuatorTypeElectricActuator,P_ENUMERATEDVALUE,IFCLABEL
16,ControlPulseCurrent,Pset_ActuatorTypeElectricActuator,P_SINGLEVALUE,IFCELECTRICCURRENTMEASURE
17,InputPressure,Pset_ActuatorTypeHydraulicActuator,P_SINGLEVALUE,IFCPRESSUREMEASURE
18,InputFlowrate,Pset_ActuatorTypeHydraulicActuator,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
19,Force,Pset_ActuatorTypeLinearActuation,P_SINGLEVALUE,IFCFORCEMEASURE
20,Stroke,Pset_ActuatorTypeLinearActuation,P_SINGLEVALUE,IFCLENGTHMEASURE
21,InputPressure,Pset_ActuatorTypePneumaticActuator,P_SINGLEVALUE,IFCPRESSUREMEASURE
22,InputFlowrate,Pset_ActuatorTypePneumaticActuator,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
23,Torque,Pset_ActuatorTypeRotationalActuation,P_SINGLEVALUE,IFCTORQUEMEASURE
24,RangeAngle,Pset_ActuatorTypeRotationalActuation,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
25,Purpose,Pset_Address,P_ENUMERATEDVALUE,IFCLABEL
26,Description,Pset_Address,P_SINGLEVALUE,IFCTEXT
27,UserDefinedPurpose,Pset_Address,P_SINGLEVALUE,IFCLABEL
28,InternalLocation,Pset_Address,P_SINGLEVALUE,IFCLABEL
29,AddressLines,Pset_Address,P_LISTVALUE,IFCLABEL
30,PostalBox,Pset_Address,P_SINGLEVALUE,IFCLABEL
31,Town,Pset_Address,P_SINGLEVALUE,IFCLABEL
32,Region,Pset_Address,P_SINGLEVALUE,IFCLABEL
33,PostalCode,Pset_Address,P_SINGLEVALUE,IFCLABEL
34,Country,Pset_Address,P_SINGLEVALUE,IFCLABEL
35,TelephoneNumbers,Pset_Address,P_LISTVALUE,IFCLABEL
36,FacsimileNumbers,Pset_Address,P_LISTVALUE,IFCLABEL
37,PagerNumber,Pset_Address,P_SINGLEVALUE,IFCLABEL
38,ElectronicMailAddresses,Pset_Address,P_LISTVALUE,IFCLABEL
39,WWWHomePageURL,Pset_Address,P_SINGLEVALUE,IFCURIREFERENCE
40,MessagingIDs,Pset_Address,P_LISTVALUE,IFCURIREFERENCE
41,Description,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCTEXT
42,AirSideSystemType,Pset_AirSideSystemInformation,P_ENUMERATEDVALUE,IFCLABEL
43,AirSideSystemDistributionType,Pset_AirSideSystemInformation,P_ENUMERATEDVALUE,IFCLABEL
44,TotalAirFlow,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
45,EnergyGainTotal,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
46,AirFlowSensible,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
47,EnergyGainSensible,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
48,EnergyLoss,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
49,InfiltrationDiversitySummer,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
50,InfiltrationDiversityWinter,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
51,ApplianceDiversity,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
52,HeatingTemperatureDelta,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
53,CoolingTemperatureDelta,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
54,Ventilation,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
55,FanPower,Pset_AirSideSystemInformation,P_SINGLEVALUE,IFCPOWERMEASURE
56,DamperPosition,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
57,AtmosphericPressure,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
58,Sound,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
59,AirFlowCurve,Pset_AirTerminalBoxPHistory,P_REFERENCEVALUE,IFCTIMESERIES
60,Reference,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
61,Status,Pset_AirTerminalBoxTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
62,AirFlowRateRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCVOLUMETRICFLOWRATEMEASURE
63,AirPressureRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCPRESSUREMEASURE
64,NominalAirFlowRate,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
65,ArrangementType,Pset_AirTerminalBoxTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
66,ReheatType,Pset_AirTerminalBoxTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
67,HasSoundAttenuator,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
68,HasReturnAir,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
69,HasFan,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
70,NominalInletAirPressure,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCPRESSUREMEASURE
71,NominalDamperDiameter,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
72,HousingThickness,Pset_AirTerminalBoxTypeCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
73,OperationTemperatureRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
74,ReturnAirFractionRange,Pset_AirTerminalBoxTypeCommon,P_BOUNDEDVALUE,IFCPOSITIVERATIOMEASURE
75,AirFlowType,Pset_AirTerminalOccurrence,P_ENUMERATEDVALUE,IFCLABEL
76,AirFlowRate,Pset_AirTerminalOccurrence,P_SINGLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
77,AirTerminalLocation,Pset_AirTerminalOccurrence,P_ENUMERATEDVALUE,IFCLABEL
78,AirFlowRateHistory,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
79,NeckAirVelocity,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
80,SupplyAirTemperatureHeating,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
81,SupplyAirTemperatureCooling,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
82,PressureDrop,Pset_AirTerminalPHistory,P_REFERENCEVALUE,IFCTIMESERIES
83,InductionRatio,Pset_AirTerminalPHistory,P_TABLEVALUE,IFCREAL
84,CenterlineAirVelocity,Pset_AirTerminalPHistory,P_TABLEVALUE,IFCLINEARVELOCITYMEASURE
85,Reference,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
86,Status,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
87,AirTerminalShape,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
88,FaceType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
89,SlotWidth,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
90,SlotLength,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
91,NumberOfSlots,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCCOUNTMEASURE
92,FlowPattern,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
93,AirFlowRateRange,Pset_AirTerminalTypeCommon,P_BOUNDEDVALUE,IFCVOLUMETRICFLOWRATEMEASURE
94,TemperatureRange,Pset_AirTerminalTypeCommon,P_BOUNDEDVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
95,DischargeDirection,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
96,ThrowLength,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
97,AirDiffusionPerformanceIndex,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCREAL
98,FinishType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
99,FinishColour,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCLABEL
100,AirTerminalMountingType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
101,CoreType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
102,CoreSetHorizontal,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
103,CoreSetVertical,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
104,HasIntegralControl,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
105,FlowControlType,Pset_AirTerminalTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
106,HasSoundAttenuator,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
107,HasThermalInsulation,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
108,NeckArea,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCAREAMEASURE
109,EffectiveArea,Pset_AirTerminalTypeCommon,P_SINGLEVALUE,IFCAREAMEASURE
110,AirFlowrateVersusFlowControlElement,Pset_AirTerminalTypeCommon,P_TABLEVALUE,IFCVOLUMETRICFLOWRATEMEASURE
111,SensibleEffectiveness,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
112,TotalEffectiveness,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
113,TemperatureEffectiveness,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
114,DefrostTemperatureEffectiveness,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
115,HumidityEffectiveness,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
116,SensibleHeatTransferRate,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
117,LatentHeatTransferRate,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
118,TotalHeatTransferRate,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
119,SensibleEffectivenessTable,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
120,TotalEffectivenessTable,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
121,AirPressureDropCurves,Pset_AirToAirHeatRecoveryPHistory,P_REFERENCEVALUE,IFCTIMESERIES
122,Reference,Pset_AirToAirHeatRecoveryTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
123,Status,Pset_AirToAirHeatRecoveryTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
124,HeatTransferTypeEnum,Pset_AirToAirHeatRecoveryTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
125,HasDefrost,Pset_AirToAirHeatRecoveryTypeCommon,P_SINGLEVALUE,IFCBOOLEAN
126,OperationalTemperatureRange,Pset_AirToAirHeatRecoveryTypeCommon,P_BOUNDEDVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
127,PrimaryAirFlowRateRange,Pset_AirToAirHeatRecoveryTypeCommon,P_BOUNDEDVALUE,IFCVOLUMETRICFLOWRATEMEASURE
128,SecondaryAirFlowRateRange,Pset_AirToAirHeatRecoveryTypeCommon,P_BOUNDEDVALUE,IFCPRESSUREMEASURE
129,Enabled,Pset_AlarmPHistory,P_REFERENCEVALUE,IFCTIMESERIES
130,ConditionHistory,Pset_AlarmPHistory,P_REFERENCEVALUE,IFCTIMESERIES
131,Severity,Pset_AlarmPHistory,P_REFERENCEVALUE,IFCTIMESERIES
132,Acknowledge,Pset_AlarmPHistory,P_REFERENCEVALUE,IFCTIMESERIES
133,UserHistory,Pset_AlarmPHistory,P_REFERENCEVALUE,IFCTIMESERIES
134,Reference,Pset_AlarmTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
135,Status,Pset_AlarmTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
136,AlarmCondition,Pset_AlarmTypeCommon,P_TABLEVALUE,IFCIDENTIFIER
137,CantDeficiency,Pset_AlignmentCantSegmentCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
138,CantEquilibrium,Pset_AlignmentCantSegmentCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
139,StartSmoothingLength,Pset_AlignmentCantSegmentCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
140,EndSmoothingLength,Pset_AlignmentCantSegmentCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
141,StartElevation,Pset_AlignmentVerticalSegmentCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
142,EndElevation,Pset_AlignmentVerticalSegmentCommon,P_SINGLEVALUE,IFCLENGTHMEASURE
143,ContourValue,Pset_AnnotationContourLine,P_SINGLEVALUE,IFCLENGTHMEASURE
144,SetbackDistance,Pset_AnnotationLineOfSight,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
145,VisibleAngleLeft,Pset_AnnotationLineOfSight,P_SINGLEVALUE,IFCPOSITIVEPLANEANGLEMEASURE
146,VisibleAngleRight,Pset_AnnotationLineOfSight,P_SINGLEVALUE,IFCPOSITIVEPLANEANGLEMEASURE
147,RoadVisibleDistanceLeft,Pset_AnnotationLineOfSight,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
148,RoadVisibleDistanceRight,Pset_AnnotationLineOfSight,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
149,AcquisitionMethod,Pset_AnnotationSurveyArea,P_ENUMERATEDVALUE,IFCLABEL
150,AccuracyQualityObtained,Pset_AnnotationSurveyArea,P_SINGLEVALUE,IFCRATIOMEASURE
151,AccuracyQualityExpected,Pset_AnnotationSurveyArea,P_SINGLEVALUE,IFCRATIOMEASURE
152,AssetAccountingType,Pset_Asset,P_ENUMERATEDVALUE,IFCLABEL
153,AssetTaxType,Pset_Asset,P_ENUMERATEDVALUE,IFCLABEL
154,AssetInsuranceType,Pset_Asset,P_ENUMERATEDVALUE,IFCLABEL
155,AssetStatus,Pset_Asset,P_SINGLEVALUE,IFCLABEL
156,AssetUse,Pset_Asset,P_SINGLEVALUE,IFCLABEL
157,PowerState,Pset_AudioVisualAppliancePHistory,P_REFERENCEVALUE,IFCTIMESERIES
158,MediaSourceHistory,Pset_AudioVisualAppliancePHistory,P_REFERENCEVALUE,IFCTIMESERIES
159,MediaContent,Pset_AudioVisualAppliancePHistory,P_REFERENCEVALUE,IFCTIMESERIES
160,AudioVolumeHistory,Pset_AudioVisualAppliancePHistory,P_REFERENCEVALUE,IFCTIMESERIES
161,AmplifierType,Pset_AudioVisualApplianceTypeAmplifier,P_ENUMERATEDVALUE,IFCLABEL
162,AudioAmplification,Pset_AudioVisualApplianceTypeAmplifier,P_TABLEVALUE,IFCFREQUENCYMEASURE
163,AudioMode,Pset_AudioVisualApplianceTypeAmplifier,P_TABLEVALUE,IFCIDENTIFIER
164,CameraType,Pset_AudioVisualApplianceTypeCamera,P_ENUMERATEDVALUE,IFCLABEL
165,IsOutdoors,Pset_AudioVisualApplianceTypeCamera,P_SINGLEVALUE,IFCBOOLEAN
166,VideoResolutionWidth,Pset_AudioVisualApplianceTypeCamera,P_SINGLEVALUE,IFCINTEGER
167,VideoResolutionHeight,Pset_AudioVisualApplianceTypeCamera,P_SINGLEVALUE,IFCINTEGER
168,VideoResolutionMode,Pset_AudioVisualApplianceTypeCamera,P_TABLEVALUE,IFCIDENTIFIER
169,VideoCaptureInterval,Pset_AudioVisualApplianceTypeCamera,P_TABLEVALUE,IFCIDENTIFIER
170,PanTiltZoomPreset,Pset_AudioVisualApplianceTypeCamera,P_TABLEVALUE,IFCIDENTIFIER
171,PanHorizontal,Pset_AudioVisualApplianceTypeCamera,P_BOUNDEDVALUE,IFCLENGTHMEASURE
172,PanVertical,Pset_AudioVisualApplianceTypeCamera,P_BOUNDEDVALUE,IFCLENGTHMEASURE
173,TiltHorizontal,Pset_AudioVisualApplianceTypeCamera,P_BOUNDEDVALUE,IFCPLANEANGLEMEASURE
174,TiltVertical,Pset_AudioVisualApplianceTypeCamera,P_BOUNDEDVALUE,IFCPLANEANGLEMEASURE
175,Zoom,Pset_AudioVisualApplianceTypeCamera,P_BOUNDEDVALUE,IFCPOSITIVELENGTHMEASURE
176,Reference,Pset_AudioVisualApplianceTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
177,Status,Pset_AudioVisualApplianceTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
178,MediaSource,Pset_AudioVisualApplianceTypeCommon,P_TABLEVALUE,IFCIDENTIFIER
179,AudioVolume,Pset_AudioVisualApplianceTypeCommon,P_TABLEVALUE,IFCINTEGER
180,DisplayType,Pset_AudioVisualApplianceTypeDisplay,P_ENUMERATEDVALUE,IFCLABEL
181,NominalSize,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
182,DisplayWidth,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
183,DisplayHeight,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
184,Brightness,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCILLUMINANCEMEASURE
185,ContrastRatio,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
186,RefreshRate,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCFREQUENCYMEASURE
187,TouchScreen,Pset_AudioVisualApplianceTypeDisplay,P_ENUMERATEDVALUE,IFCLABEL
188,VideoResolutionWidth,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCINTEGER
189,VideoResolutionHeight,Pset_AudioVisualApplianceTypeDisplay,P_SINGLEVALUE,IFCINTEGER
190,VideoResolutionMode,Pset_AudioVisualApplianceTypeDisplay,P_TABLEVALUE,IFCIDENTIFIER
191,VideoScaleMode,Pset_AudioVisualApplianceTypeDisplay,P_TABLEVALUE,IFCIDENTIFIER
192,VideoCaptionMode,Pset_AudioVisualApplianceTypeDisplay,P_TABLEVALUE,IFCIDENTIFIER
193,AudioMode,Pset_AudioVisualApplianceTypeDisplay,P_TABLEVALUE,IFCIDENTIFIER
194,PlayerType,Pset_AudioVisualApplianceTypePlayer,P_ENUMERATEDVALUE,IFCLABEL
195,PlayerMediaEject,Pset_AudioVisualApplianceTypePlayer,P_SINGLEVALUE,IFCBOOLEAN
196,PlayerMediaFormat,Pset_AudioVisualApplianceTypePlayer,P_TABLEVALUE,IFCIDENTIFIER
197,ProjectorType,Pset_AudioVisualApplianceTypeProjector,P_ENUMERATEDVALUE,IFCLABEL
198,VideoResolutionWidth,Pset_AudioVisualApplianceTypeProjector,P_SINGLEVALUE,IFCINTEGER
199,VideoResolutionHeight,Pset_AudioVisualApplianceTypeProjector,P_SINGLEVALUE,IFCINTEGER
200,VideoResolutionMode,Pset_AudioVisualApplianceTypeProjector,P_TABLEVALUE,IFCIDENTIFIER
201,VideoScaleMode,Pset_AudioVisualApplianceTypeProjector,P_TABLEVALUE,IFCIDENTIFIER
202,VideoCaptionMode,Pset_AudioVisualApplianceTypeProjector,P_TABLEVALUE,IFCIDENTIFIER
203,RailwayCommunicationTerminalType,Pset_AudioVisualApplianceTypeRailwayCommunicationTerminal,P_ENUMERATEDVALUE,IFCLABEL
204,ReceiverType,Pset_AudioVisualApplianceTypeReceiver,P_ENUMERATEDVALUE,IFCLABEL
205,AudioAmplification,Pset_AudioVisualApplianceTypeReceiver,P_TABLEVALUE,IFCFREQUENCYMEASURE
206,AudioMode,Pset_AudioVisualApplianceTypeReceiver,P_TABLEVALUE,IFCIDENTIFIER
207,NumberOfInterfaces,Pset_AudioVisualApplianceTypeRecordingEquipment,P_TABLEVALUE,IFCLABEL
208,StorageCapacity,Pset_AudioVisualApplianceTypeRecordingEquipment,P_SINGLEVALUE,IFCINTEGER
209,SpeakerType,Pset_AudioVisualApplianceTypeSpeaker,P_ENUMERATEDVALUE,IFCLABEL
210,SpeakerMounting,Pset_AudioVisualApplianceTypeSpeaker,P_ENUMERATEDVALUE,IFCLABEL
211,SpeakerDriverSize,Pset_AudioVisualApplianceTypeSpeaker,P_TABLEVALUE,IFCIDENTIFIER
212,FrequencyResponse,Pset_AudioVisualApplianceTypeSpeaker,P_TABLEVALUE,IFCFREQUENCYMEASURE
213,Impedence,Pset_AudioVisualApplianceTypeSpeaker,P_SINGLEVALUE,IFCFREQUENCYMEASURE
214,TunerType,Pset_AudioVisualApplianceTypeTuner,P_ENUMERATEDVALUE,IFCLABEL
215,TunerMode,Pset_AudioVisualApplianceTypeTuner,P_TABLEVALUE,IFCIDENTIFIER
216,TunerChannel,Pset_AudioVisualApplianceTypeTuner,P_TABLEVALUE,IFCIDENTIFIER
217,TunerFrequency,Pset_AudioVisualApplianceTypeTuner,P_BOUNDEDVALUE,IFCFREQUENCYMEASURE
218,FailureInformation,Pset_AxleCountingEquipment,P_SINGLEVALUE,IFCTEXT
219,DetectionRange,Pset_AxleCountingEquipment,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
220,OperationalTemperatureRange,Pset_AxleCountingEquipment,P_BOUNDEDVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
221,NominalWeight,Pset_AxleCountingEquipment,P_SINGLEVALUE,IFCMASSMEASURE
222,AxleCountingEquipmentType,Pset_AxleCountingEquipment,P_ENUMERATEDVALUE,IFCLABEL
223,ImpactParameter,Pset_AxleCountingEquipment,P_SINGLEVALUE,IFCACCELERATIONMEASURE
224,RatedVoltage,Pset_AxleCountingEquipment,P_BOUNDEDVALUE,IFCELECTRICVOLTAGEMEASURE
225,InsulationResistance,Pset_AxleCountingEquipment,P_SINGLEVALUE,IFCELECTRICRESISTANCEMEASURE
226,AxleCounterResponseTime,Pset_AxleCountingEquipment,P_SINGLEVALUE,IFCTIMEMEASURE
227,MaximumVibration,Pset_AxleCountingEquipment,P_SINGLEVALUE,IFCFREQUENCYMEASURE
228,ReferenceDistanceRopeToPulley,Pset_BalanceWeightTensionerDesignCriteria,P_TABLEVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
229,ReferenceDistanceTensionerToGround,Pset_BalanceWeightTensionerDesignCriteria,P_TABLEVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
230,Reference,Pset_BeamCommon,P_SINGLEVALUE,IFCIDENTIFIER
231,Status,Pset_BeamCommon,P_ENUMERATEDVALUE,IFCLABEL
232,Span,Pset_BeamCommon,P_SINGLEVALUE,IFCPOSITIVELENGTHMEASURE
233,Slope,Pset_BeamCommon,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
234,Roll,Pset_BeamCommon,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
235,IsExternal,Pset_BeamCommon,P_SINGLEVALUE,IFCBOOLEAN
236,ThermalTransmittance,Pset_BeamCommon,P_SINGLEVALUE,IFCTHERMALTRANSMITTANCEMEASURE
237,LoadBearing,Pset_BeamCommon,P_SINGLEVALUE,IFCBOOLEAN
238,FireRating,Pset_BeamCommon,P_SINGLEVALUE,IFCLABEL
239,DisplacementAccommodated,Pset_BearingCommon,P_LISTVALUE,IFCBOOLEAN
240,RotationAccommodated,Pset_BearingCommon,P_LISTVALUE,IFCBOOLEAN
241,BerthApproach,Pset_BerthCommon,P_ENUMERATEDVALUE,IFCLABEL
242,BerthMode,Pset_BerthCommon,P_ENUMERATEDVALUE,IFCLABEL
243,BerthingAngle,Pset_BerthCommon,P_SINGLEVALUE,IFCPLANEANGLEMEASURE
244,BerthingVelocity,Pset_BerthCommon,P_SINGLEVALUE,IFCLINEARVELOCITYMEASURE
245,AbnormalBerthingFactor,Pset_BerthCommon,P_SINGLEVALUE,IFCPOSITIVERATIOMEASURE
246,EnergySourceConsumption,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
247,OperationalEfficiency,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
248,CombustionEfficiency,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
249,WorkingPressureHistory,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
250,CombustionChamberTemperature,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
251,PartLoadRatio,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
252,Load,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
253,PrimaryEnergyConsumption,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
254,AuxiliaryEnergyConsumption,Pset_BoilerPHistory,P_REFERENCEVALUE,IFCTIMESERIES
255,Reference,Pset_BoilerTypeCommon,P_SINGLEVALUE,IFCIDENTIFIER
256,Status,Pset_BoilerTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
257,PressureRating,Pset_BoilerTypeCommon,P_SINGLEVALUE,IFCPRESSUREMEASURE
258,OperatingMode,Pset_BoilerTypeCommon,P_ENUMERATEDVALUE,IFCLABEL
259,HeatTransferSurfaceArea,Pset_BoilerTypeCommon,P_SINGLEVALUE,IFCAREAMEASURE
260,NominalPartLoadRatio,Pset_BoilerTypeCommon,P_BOUNDEDVALUE,IFCREAL
261,WaterInletTemperatureRange,Pset_BoilerTypeCommon,P_BOUNDEDVALUE,IFCTHERMODYNAMICTEMPERATUREMEASURE
262,WaterStorageCapacity,Pset_BoilerTypeCommon,P_SINGLEVALUE,IFCVOLUMEMEASURE
