specification name	specification description	entity	predefinedType	property set	property name	property type	optionality	property value			
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCBEAM		CISCEA_QUANTIDADES	Peso_Ø12.50	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCBEAM		CISCEA_QUANTIDADES	Peso_Ø16.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCBEAM		CISCEA_QUANTIDADES	Peso_Ø20.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCBEAM		CISCEA_QUANTIDADES	Peso_Ø25.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_IDENTIFICAÇÃO	Concreto aparente	IfcBoolean	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_IDENTIFICAÇÃO	Concreto fck	IfcLabel	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Volume de Concreto	IfcVolumeMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Área de Fôrma	IfcAreaMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø5.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø6.30	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø8.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø10.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø12.50	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø16.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø20.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Peso_Ø25.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_IDENTIFICAÇÃO	Concreto fck	IfcLabel	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Volume de Concreto	IfcVolumeMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Área de Fôrma	IfcAreaMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø5.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø6.30	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø8.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø10.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø12.50	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø16.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø20.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSTAIR		CISCEA_QUANTIDADES	Peso_Ø25.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_IDENTIFICAÇÃO	Concreto fck	IfcLabel	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Volume de Concreto	IfcVolumeMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Área de Fôrma	IfcAreaMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø5.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø6.30	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø8.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø10.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø12.50	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø16.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø20.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCRAMP		CISCEA_QUANTIDADES	Peso_Ø25.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_IDENTIFICAÇÃO	Concreto fck	IfcLabel	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Volume de Concreto	IfcVolumeMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Área de Fôrma	IfcAreaMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø5.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø6.30	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø8.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø10.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø12.50	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø16.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø20.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCFOOTING		CISCEA_QUANTIDADES	Peso_Ø25.00	IfcMassMeasure	optional				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCPILE		CISCEA_IDENTIFICAÇÃO	Descrição	IfcLabel	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCPILE		CISCEA_QUANTIDADES	Comprimento do furo	IfcLengthMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_IDENTIFICAÇÃO	Descrição	IfcLabel	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCSLAB		CISCEA_QUANTIDADES	Volume	IfcVolumeMeasure	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCWALL	SOLIDWALL	CISCEA_IDENTIFICAÇÃO	Descrição	IfcLabel	required				
ESTRUTURA DE CONCONCRETO	propriedades necessárias para a estrutura de concreto	IFCWALL	SOLIDWALL	CISCEA_QUANTIDADES	Área	IfcAreaMeasure	required				
